Recv	eu-ms-001-17:0	eu-ms-001-11:1	eu-ms-001-13:2	eu-ms-001-18:3	eu-ms-001-38:4	eu-ms-001-34:5	eu-ms-001-29:6	eu-ms-001-14:7	eu-ms-001-10:8	eu-ms-018-11:9	eu-ms-018-41:10	eu-ms-018-21:11	eu-ms-018-22:12	eu-ms-018-30:13	eu-ms-018-36:14	eu-ms-018-32:15	eu-ms-018-20:16	eu-ms-018-14:17	eu-ms-018-25:18	eu-ms-018-07:19	eu-ms-018-28:20	eu-ms-022-26:21	eu-ms-022-37:22	eu-ms-022-29:23	eu-ms-022-21:24	eu-ms-022-41:25	eu-ms-022-40:26	eu-ms-022-08:27	eu-ms-022-31:28	eu-ms-022-33:29	eu-ms-026-01:30	eu-ms-026-29:31	
eu-ms-001-17:0 from	0.000	1136.292	1136.540	1136.469	1137.200	1136.550	1135.252	1136.592	1094.960	669.199	1008.722	14.420	1067.732	44.698	1089.992	16.302	1124.833	668.643	507.715	810.596	804.641	910.256	33.037	1003.604	25.732	23.463	1023.041	1041.153	1045.876	1016.561	1050.299	1008.449	
eu-ms-001-11:1 from	1073.940	0.000	1131.220	1136.295	1135.819	1137.206	1133.877	1136.350	1136.087	1122.519	1123.141	1068.311	16.895	1042.270	1065.092	1026.037	25.953	686.430	17.010	662.158	922.036	952.797	909.183	994.325	1019.909	14.658	745.339	1019.500	1024.356	1040.737	1051.707	1038.794	
eu-ms-001-13:2 from	1101.461	1000.579	0.000	1135.814	1131.807	1136.250	1136.257	1135.739	1134.109	1103.882	1135.018	680.548	57.163	23.894	10.682	18.530	13.559	15.422	686.433	961.489	34.293	1006.562	902.428	930.248	27.137	1027.496	11.324	979.754	1030.658	1016.793	1047.919	1035.160	
eu-ms-001-18:3 from	1016.842	1103.480	1076.245	0.000	1137.535	1137.714	1134.494	1137.450	1136.859	1130.097	1135.478	1084.895	1122.787	35.225	9.320	1051.773	1061.372	825.542	56.845	1126.642	67.760	29.830	1008.353	61.664	689.609	1022.433	1030.583	14.713	62.257	1032.550	1002.731	1052.222	
eu-ms-001-38:4 from	1103.172	1025.214	1040.673	1012.430	0.000	1135.734	1137.416	1135.908	1128.686	983.104	1133.666	1130.051	1135.185	913.621	1040.528	24.752	17.496	1049.387	1085.888	43.770	1136.063	79.315	970.721	1011.648	903.016	26.524	1024.017	1030.483	9.734	22.418	1015.262	1038.858	
eu-ms-001-34:5 from	1029.916	1103.157	1013.408	1042.394	1070.998	0.000	1133.718	1135.644	1135.441	982.313	1131.470	1134.760	1129.223	1135.017	682.428	1112.166	12.281	1067.460	49.614	74.915	10.851	1126.437	10.393	839.457	765.336	15.971	977.395	702.172	1022.988	26.535	966.490	1028.050	
eu-ms-001-29:6 from	1033.172	1020.646	1102.433	1038.560	1100.240	997.512	0.000	1136.355	1133.091	1132.515	1134.627	1132.322	1132.794	1135.388	1068.776	1122.541	47.218	21.970	10.021	1064.164	1128.694	981.668	1130.645	11.186	834.453	1009.848	926.424	15.954	29.598	1024.418	1039.087	974.285	
eu-ms-001-14:7 from	960.186	1020.682	1030.178	1106.361	1023.222	1102.813	1078.947	0.000	1134.488	1131.593	1133.871	1130.548	1134.819	1132.384	1134.204	1080.561	694.661	23.012	41.143	13.913	19.846	986.703	77.176	1136.702	20.115	799.784	1017.660	73.893	22.635	39.778	1029.086	1038.747	
eu-ms-001-10:8 from	1057.028	968.019	1029.011	1016.381	1053.935	1018.088	1055.520	1026.954	0.000	1134.194	1135.518	1133.891	1133.325	1129.679	1129.304	1132.820	1104.818	1122.674	1030.611	15.649	1099.097	1119.677	1074.062	1062.469	795.665	957.115	82.645	763.447	60.521	11.826	978.778	1034.529	
eu-ms-018-11:9 from	663.567	83.201	932.579	1014.987	1020.797	1041.583	1014.199	1024.975	1061.226	0.000	1130.135	1129.216	1134.391	1129.316	1128.740	1127.812	1025.049	1059.495	1118.962	1085.942	52.436	1034.640	641.753	929.169	960.022	545.949	921.399	57.279	44.157	12.356	815.586	947.934	
eu-ms-018-41:10 from	993.510	1029.444	1053.805	996.238	1030.438	1028.558	1047.652	1043.507	1100.074	895.636	0.000	1136.141	1136.869	1137.214	1135.436	1136.154	1134.625	1056.492	1135.605	1129.674	1067.863	1084.864	764.197	981.477	1131.376	23.957	548.152	964.826	931.625	1003.572	990.658	811.505	
eu-ms-018-21:11 from	771.610	963.414	828.765	1068.558	1002.280	1045.603	1016.835	1047.153	1033.174	1100.805	1070.026	0.000	1135.184	1133.467	1135.154	1130.569	1137.251	1109.968	1133.512	1075.679	1126.024	1091.057	973.986	14.878	71.784	78.372	964.702	903.737	36.334	901.031	73.920	948.401	
eu-ms-018-22:12 from	1005.684	906.393	980.911	841.247	1045.479	994.882	1020.878	1029.021	1099.427	1028.483	1047.493	1001.923	0.000	1136.421	1136.134	1134.360	1136.690	1135.775	1137.166	1134.941	1133.700	906.242	1030.695	14.830	983.653	991.955	883.979	705.142	544.304	18.053	926.066	1006.094	
eu-ms-018-30:13 from	767.598	29.789	919.534	67.295	1014.825	1039.180	961.251	1036.774	1016.960	1095.675	1021.949	1044.886	1065.366	0.000	1133.455	1136.855	1132.597	1135.355	1136.987	1136.709	1134.648	9.248	908.353	48.903	1039.162	769.194	66.813	910.683	689.159	903.925	945.478	959.493	
eu-ms-018-36:14 from	29.761	1007.784	987.343	814.141	1001.053	1032.453	1089.221	972.959	1025.507	1026.989	1097.337	1025.219	1100.010	1016.829	0.000	1132.930	1135.779	1134.668	1137.673	1136.408	1135.821	1090.564	15.394	1127.048	803.267	30.664	688.880	705.012	743.680	18.045	1136.174	927.065	
eu-ms-018-32:15 from	19.251	755.939	983.165	985.811	743.354	1031.331	1024.600	1068.652	963.017	1051.726	1028.334	1102.350	1023.714	1099.656	1073.247	0.000	1137.477	1134.428	1134.018	1137.294	1135.789	1125.475	1130.435	13.255	1128.798	614.263	845.360	739.119	655.887	729.228	31.547	903.778	
eu-ms-018-20:16 from	1136.250	39.800	52.908	1008.553	28.208	943.473	1007.728	30.913	46.067	935.308	1028.615	1036.232	1047.052	1021.254	1033.479	1000.297	0.000	1136.389	1135.707	1135.694	1137.711	1134.340	1124.789	1111.502	29.688	1114.598	595.109	16.662	14.339	1114.300	1083.970	889.128	
eu-ms-018-14:17 from	1020.034	648.977	7.923	6.841	740.162	24.359	755.777	1018.090	9.893	17.710	993.260	1028.589	1025.415	1042.761	1022.989	1048.176	1076.840	0.000	1133.031	1136.811	1134.417	1136.183	1133.417	1083.038	991.117	1016.670	906.944	564.317	13.732	1074.192	1046.022	46.840	
eu-ms-018-25:18 from	705.693	1008.066	648.990	951.352	9.860	866.942	12.116	777.903	1004.596	7.436	9.725	991.646	1025.174	1033.056	1046.713	1025.262	1101.560	1019.458	0.000	1137.399	1136.239	1136.330	1136.269	1134.483	1041.519	1131.188	1125.287	1107.109	843.437	839.394	62.149	1068.648	
eu-ms-018-07:19 from	942.205	1018.367	80.684	1135.432	13.464	14.341	979.162	19.933	783.148	983.773	1022.253	1013.209	974.203	1028.243	1030.339	1049.369	1036.261	1100.549	1072.002	0.000	1134.669	1130.137	1130.748	1136.054	1134.102	1129.943	1122.473	12.497	1127.872	621.284	927.553	1054.487	
eu-ms-018-28:20 from	1056.684	1072.456	53.684	54.152	1135.852	7.740	10.165	992.116	23.469	854.774	1009.127	1020.162	1002.865	965.988	1023.839	1036.433	1102.040	1037.706	1050.858	1017.587	0.000	1136.487	1135.286	1136.148	1129.098	1133.359	1125.438	1090.243	14.269	888.085	1071.229	17.562	
eu-ms-022-26:21 from	1076.675	12.863	1131.930	859.891	1044.821	1136.660	945.962	47.648	1028.468	64.898	933.185	45.919	870.986	879.418	890.521	1022.634	1035.393	1104.884	1033.807	1047.740	1070.038	0.000	1134.684	1137.062	1134.177	1131.355	1135.048	1136.953	1134.995	1074.087	1135.957	1061.218	
eu-ms-022-37:22 from	1036.889	808.182	72.145	1114.921	1038.367	1042.949	1134.430	40.975	814.109	666.092	767.767	883.032	984.770	1008.263	939.128	965.108	1026.249	1020.351	1104.927	1016.963	1102.854	1018.323	0.000	1131.981	1136.420	1136.568	1132.907	1136.207	1133.308	1135.601	1002.912	1134.771	
eu-ms-022-29:23 from	1117.878	1047.868	885.201	46.921	1099.660	1085.916	959.179	1135.498	970.813	689.247	616.386	38.079	699.218	590.592	1004.627	953.941	969.314	1023.037	1020.613	1098.900	1025.397	1098.899	1069.124	0.000	1136.092	1131.519	1133.936	1136.821	1135.988	1132.247	1131.186	1072.934	
eu-ms-022-21:24 from	10.715	1127.529	692.259	1001.508	51.067	60.145	1129.271	1022.986	878.908	711.088	966.376	829.392	48.300	946.748	573.181	1027.207	28.501	995.680	1035.698	1025.441	1001.941	1037.103	1047.065	1000.240	0.000	1131.921	1136.445	1136.362	1136.523	1134.675	1134.476	1135.499	
eu-ms-022-41:25 from	1133.353	1056.113	1127.288	844.441	889.939	1101.735	1044.281	1029.911	51.756	573.511	985.208	826.325	716.982	935.010	60.521	813.625	64.709	877.541	21.682	1024.604	1027.796	1023.101	1014.195	1044.489	1066.588	0.000	1135.369	1135.759	1134.320	1136.159	1133.895	1136.158	
eu-ms-022-40:26 from	1133.606	1134.480	1070.624	1132.928	53.040	1057.241	56.077	1071.924	813.618	1009.756	575.636	961.091	964.024	826.844	46.648	58.439	788.777	634.312	49.014	962.256	1023.685	1057.140	1052.365	1028.877	1102.893	994.231	0.000	1136.242	1135.492	1135.715	1134.782	1131.935	
eu-ms-022-08:27 from	1134.034	1130.609	1134.103	946.891	1122.199	1091.480	1082.290	1113.964	1134.350	841.073	8.759	1024.403	51.675	946.767	1014.236	826.099	914.255	562.404	35.267	9.379	944.516	1029.771	1040.885	1053.520	1028.097	1102.756	1076.529	0.000	1137.592	1137.753	1133.198	1136.957	
eu-ms-022-31:28 from	1135.884	1134.313	1132.889	1135.108	752.450	1129.210	684.982	896.275	1104.558	27.610	933.028	15.522	571.489	921.157	898.946	620.219	17.094	960.688	578.506	1024.104	25.221	945.195	1027.486	1021.054	1101.125	1027.031	1048.273	1022.307	0.000	1137.803	1136.584	1136.066	
eu-ms-022-33:29 from	1134.279	1132.616	1134.873	1135.886	1134.200	808.170	1129.358	1113.259	1059.479	13.382	6.543	25.891	21.261	1018.608	58.703	834.353	1020.561	772.818	700.558	871.584	1011.230	1036.315	994.836	1028.177	1026.129	1101.838	1028.367	1048.844	1078.251	0.000	1131.008	1136.227	
eu-ms-026-01:30 from	1134.721	1132.737	1134.897	1131.260	1131.567	1133.054	1061.103	1133.871	852.923	9.637	1074.148	14.374	1053.546	29.720	1135.680	918.575	990.292	923.981	828.532	638.713	978.356	1003.123	1086.855	12.762	1017.286	1003.331	1102.919	1027.997	1104.073	1010.676	0.000	1136.687	
eu-ms-026-29:31 from	1134.283	1131.838	1131.252	1133.668	1136.680	1136.366	1134.444	1073.717	1132.982	18.436	8.414	15.935	1050.532	66.293	10.998	1025.373	62.410	723.599	977.286	966.021	786.699	928.209	1031.245	1078.585	977.584	1027.463	1036.614	1103.464	1027.588	1102.908	1068.895	0.000	
